"species","longitude","latitude","ID","Bio3","Bio4","Bio7","Bio9","Bio13","Bio14","Bio15","Bio18","Settlement_dist","River_dist","Road_dist"
"elephant",36.092,-3.61565,73,71.4781723022461,158.048583984375,16.7999992370605,19.8500003814697,153,1,91.3986968994141,331,921.478637695312,1851.67980957031,0.00833333376795053
"elephant",36.10181667,-3.59508333,74,71.4990158081055,157.854934692383,16.8999996185303,20.0666675567627,150,1,91.6014938354492,236,1306.25659179688,921.478332519531,0.00833333376795053
"elephant",36.09,-3.5771,75,71.726188659668,155.168533325195,16.7999992370605,20.033332824707,150,1,92.0048904418945,235,2915.35327148438,921.477966308594,0
"elephant",36.14138333,-3.53585,76,71.4071884155273,154.882049560547,16.7000007629395,19.6166667938232,157,1,93.5893402099609,243,4136.8115234375,1851.82995605469,0.0166666675359011
"elephant",36.13871667,-3.54565,77,71.7065887451172,153.713485717773,16.7000007629395,19.7000007629395,152,1,92.472038269043,242,3816.5185546875,1306.29138183594,0.0117851132526994
"elephant",36.15656667,-3.5191,78,71.6365509033203,154.705856323242,16.5999984741211,19.6000003814697,163,1,93.5134048461914,346,2068.45727539062,0,0.0186339002102613
"elephant",36.03376667,-3.6561,79,71.3510894775391,160.729263305664,16.8999996185303,20.1333332061768,154,1,91.40380859375,330,2612.42504882812,2068.21899414062,0
"elephant",35.93048333,-3.74958333,80,71.2626266479492,157.486785888672,16.5,20.2999992370605,148,2,89.3564605712891,332,2764.4453125,1851.4052734375,0
"elephant",35.91341667,-3.84745,81,67.1201782226562,170.451736450195,14.7000007629395,19.75,134,1,89.7616882324219,316,7938.744140625,921.483581542969,0
"elephant",35.91775,-3.52596667,82,69.8958282470703,157.622024536133,16,20.2666664123535,157,1,93.0807037353516,326,8746.13671875,0,0.0650854110717773
"elephant",35.9085,-3.52871667,83,69.601676940918,159.35954284668,15.8999996185303,20.1833324432373,157,1,90.4602966308594,332,9082.759765625,925.923217773438,0.0666666701436043
"elephant",35.95861667,-3.66443333,84,70.7114944458008,158.465057373047,17.1000003814697,20.3999996185303,147,1,90.9708023071289,322,3816.09497070312,0,0
"elephant",35.98771667,-3.6609,85,70.5882339477539,160.018936157227,17,20.2999992370605,148,1,90.9054565429688,322,1306.21545410156,0,0
"elephant",35.95256667,-3.67683333,86,70.808967590332,157.904724121094,17.1000003814697,20.3999996185303,146,1,90.6040191650391,320,2612.38940429688,0,0
"elephant",35.92895,-3.79576667,87,70.4451293945312,159.137710571289,16.1000003814697,20.1333332061768,155,2,87.6637268066406,344,2764.44702148438,921.482482910156,0
"elephant",36.01668333,-3.67971667,88,70.9073028564453,160.678009033203,16.8999996185303,20.1666660308838,152,1,91.3111190795898,327,3816.02856445312,0,0
"elephant",35.97623333,-3.68433333,89,70.8333358764648,158.617965698242,17,20.3333339691162,149,1,91.5837020874023,324,4124.822265625,0,0
"elephant",35.978,-3.56193333,90,71.2121200561523,151.737411499023,16.5,20.3666667938232,156,1,93.0574645996094,233,9815.6044921875,1842.95581054688,0.0416666679084301
"elephant",35.96233333,-3.54231667,91,71.2906494140625,151.469436645508,16.3999996185303,20.4500007629395,157,1,92.9039535522461,230,10304.017578125,1851.81335449219,0.0589255653321743
"elephant",35.92566667,-3.55738333,92,70.3987655639648,155.862121582031,16.2999992370605,20.3500003814697,158,1,92.2093887329102,327,8344.82421875,921.477478027344,0.0750000029802322
"elephant",35.99023333,-3.57211667,93,70.7831344604492,153.479843139648,16.6000003814697,20.3500003814697,154,1,92.7452697753906,325,9261.1796875,921.477966308594,0.0333333350718021
"elephant",36.01968333,-3.63883333,94,71.1309585571289,158.291046142578,16.7999992370605,20.1666679382324,152,1,91.0710678100586,327,3333.23315429688,3327.228515625,0
"elephant",36.04956667,-3.65318333,95,71.7758026123047,159.802764892578,16.7999992370605,20.1000003814697,159,2,90.8117599487305,338,2062.41479492188,1306.22143554688,0.00833333376795053
"elephant",36.03686667,-3.64573333,96,71.8254013061523,159.114486694336,16.7999992370605,20.1499996185303,165,2,90.3636322021484,348,3327.21948242188,1851.61218261719,0
"elephant",36.11741667,-3.50503333,97,71.4506149291992,152.675003051758,16.2000007629395,19.5666675567627,167,1,93.2802047729492,248,5631.5595703125,0,0.0117851132526994
"elephant",35.9532,-3.72005,98,70.784309387207,159.152572631836,17,20.2999992370605,163,2,88.977424621582,357,3327.16479492188,1306.17370605469,0.00833333376795053
"elephant",35.93246667,-3.77376667,99,71.2963027954102,157.383911132812,16.1999988555908,20.2000007629395,154,2,88.9245910644531,341,0,921.482116699219,0
"elephant",35.9458,-3.7531,100,71.3636322021484,157.842361450195,16.5,20.2666664123535,149,2,87.6155624389648,333,2612.28076171875,2764.44580078125,0
"elephant",35.9233,-3.76755,101,70.5010299682617,158.307205200195,16.2999992370605,20.2333335876465,155,2,88.2413101196289,343,925.676330566406,921.482116699219,0
"elephant",35.94695,-3.52536667,102,70.9876556396484,152.434799194336,16.2000007629395,20.4333343505859,156,1,93.1140365600586,325,8293.287109375,1842.95446777344,0.0485912673175335
"elephant",36.00368333,-3.59083333,103,70.7831344604492,154.579071044922,16.5999984741211,20.25,150,1,91.0607528686523,320,7429.7392578125,1306.26831054688,0.0235702265053988
"elephant",35.96755,-3.76176667,104,71.3414611816406,157.60758972168,16.3999996185303,20.1333332061768,157,2,89.78125,343,4719.23876953125,2612.2685546875,0
"elephant",36.00331667,-3.8377,105,70.7537155151367,155.993270874023,15.6999998092651,19.6833343505859,150,1,91.935676574707,338,7429.74853515625,2612.18237304688,0
"elephant",35.9457,-3.6469,106,71.1538391113281,156.429748535156,16.9000015258789,20.4166660308838,150,1,90.4147491455078,324,3333.25415039062,0,0.00833333376795053
"elephant",35.9814,-3.74645,107,71.6161651611328,157.290023803711,16.5,20.1333332061768,168,2,87.6598434448242,364,6204.056640625,1842.96264648438,0
"elephant",36.02593333,-3.76391667,108,70.6808929443359,159.347030639648,16.4000015258789,19.8500003814697,155,1,91.2814178466797,339,8721.8837890625,1306.13732910156,0
"elephant",36.00195,-3.53498333,109,71.1616134643555,150.59162902832,16.5,20.2666664123535,156,1,93.6084671020508,232,11262.681640625,1306.29711914062,0.0263523142784834
"elephant",36.04085,-3.54411667,110,71.4141464233398,154.137359619141,16.5,20.1666660308838,158,1,94.0940704345703,233,7464.31494140625,921.477294921875,0.0117851132526994
"elephant",36.0558,-3.52663333,111,71.9004058837891,151.619400024414,16.3999996185303,20.2333335876465,154,1,94.2499084472656,230,6205.23974609375,0,0
"elephant",35.99298333,-3.61856667,112,70.7831344604492,158.200088500977,16.5999984741211,20.25,148,1,90.620491027832,232,3685.9169921875,921.478820800781,0.0166666675359011
"elephant",36.10876667,-3.66225,113,71.7171783447266,160.835876464844,16.5,19.75,156,1,92.1126708984375,336,6545.67626953125,921.479858398438,0.00833333376795053
"elephant",35.92535,-3.54053333,114,70.1646118164062,156.16862487793,16.2000007629395,20.3500003814697,158,1,93.0411376953125,327,9399.005859375,0,0.0650854110717773
"elephant",35.95266667,-3.49501667,115,71.4212646484375,149.044311523438,16.2999992370605,20.5166664123535,150,1,93.0190048217773,317,4699.5048828125,0,0.0186339002102613
"elephant",35.90566667,-3.89921667,116,67.9617080688477,167.66389465332,14.8000011444092,19.8999996185303,121,1,90.5864562988281,299,5629.15771484375,1306.03796386719,0.00833333376795053
"elephant",35.9052,-3.84273333,117,68.0180130004883,168.284576416016,14.8000011444092,19.8333339691162,131,1,89.3786087036133,313,7836.583984375,921.483581542969,0
"elephant",36.09771667,-3.4723,118,69.8123626708984,154.426467895508,15.0999994277954,18.7333335876465,186,1,95.2762908935547,381,9261.169921875,3327.40551757812,0.053359366953373
"elephant",36.0756,-3.73353333,119,70.9611434936523,160.751083374023,16.2999992370605,19.7333335876465,159,1,92.5358428955078,342,2612.32934570312,2777.13403320312,0.00833333376795053
"elephant",36.06251667,-3.55043333,120,71.6365509033203,154.979827880859,16.5999984741211,20.1000003814697,153,1,93.4453887939453,234,4629.4921875,921.477478027344,0
"elephant",35.9782,-3.7571,121,71.2626266479492,158.163589477539,16.5,20.1000003814697,160,2,89.2994918823242,349,5851.8818359375,2612.30493164062,0
"elephant",36.00241667,-3.6141,122,70.4590835571289,158.053970336914,16.7000007629395,20.2000007629395,150,1,91.1366729736328,233,4699.4892578125,0,0.0186339002102613
"elephant",35.9431,-3.57916667,123,71.1111068725586,153.531661987305,16.5,20.4333343505859,151,1,91.1714324951172,321,6187.31787109375,0,0.0527046285569668
"elephant",35.98878333,-3.5938,124,70.8835296630859,155.517227172852,16.6000003814697,20.3333339691162,151,1,90.0571746826172,234,6516.4541015625,921.478515625,0.0416666679084301
"elephant",35.99135,-3.5274,125,71.0606079101562,150.626846313477,16.5,20.3500003814697,157,1,93.9166717529297,233,9498.0478515625,1842.95373535156,0.030046259984374
"elephant",36.00546667,-3.54411667,126,71.5955276489258,150.832916259766,16.3999996185303,20.3666667938232,158,1,93.5625991821289,230,11148.974609375,921.477478027344,0.0235702265053988
"elephant",36.05335,-3.53633333,127,71.7676773071289,152.813873291016,16.5,20.2333335876465,152,1,93.4019165039062,228,5853.14111328125,0,0.00833333376795053
"elephant",35.93646667,-3.64473333,128,70.7593688964844,158.680038452148,16.9000015258789,20.3666667938232,149,1,90.790885925293,323,2612.46044921875,0,0
"elephant",36.02063333,-3.7228,129,71.0079803466797,159.608306884766,16.7000007629395,20.0666656494141,153,1,92.9273529052734,331,6654.35693359375,2612.32934570312,0
"elephant",35.95788333,-3.70205,130,70.7115020751953,159.793319702148,17.1000003814697,20.3666667938232,151,2,89.8186950683594,334,2068.12744140625,925.74609375,0
"elephant",35.97613333,-3.6316,131,70.8829345703125,157.698287963867,16.7999992370605,20.3333339691162,150,1,90.8202209472656,323,3327.23754882812,1306.23901367188,0.0186339002102613
"elephant",35.9798,-3.62325,132,70.7341232299805,156.87043762207,16.7999992370605,20.3500003814697,150,1,90.4851379394531,323,4124.8505859375,921.478820800781,0.0235702265053988
"elephant",35.96188333,-3.71275,133,70.5165634155273,159.380325317383,17.1000003814697,20.3166656494141,162,2,88.4566268920898,354,3333.08447265625,0,0
"elephant",35.99895,-3.66345,134,70.8579864501953,157.813537597656,16.8999996185303,20.2999992370605,150,1,91.2992706298828,323,921.479675292969,0,0.00833333376795053
"elephant",35.96295,-3.61251667,135,71.2797546386719,156.400680541992,16.8000011444092,20.4333324432373,153,1,91.6050720214844,232,4982.515625,0,0.0372678004205227
"elephant",35.96225,-3.634,136,71.0552215576172,156.758728027344,16.9000015258789,20.4333324432373,158,2,88.6397476196289,340,4136.453125,925.814575195312,0.0235702265053988
"elephant",35.88756667,-3.80141667,137,70.9349594116211,156.58039855957,16.4000015258789,20.3833332061768,146,1,89.4492263793945,329,3815.52172851562,921.482849121094,0
"elephant",36.01378333,-3.69915,138,70.7593688964844,160.455673217773,16.8999996185303,20.1499996185303,156,1,91.6660461425781,335,4965.505859375,1842.96057128906,0.0117851132526994
"elephant",35.9773,-3.51056667,139,71.3414611816406,149.580215454102,16.3999996185303,20.3999996185303,158,1,94.3146591186523,233,7438.078125,0,0.0235702265053988
